cuenta,nomenclatura,porcentaje_copropiedad,superficie_mejoras,superficie_mejoras_propias,superficie_mejoras_comunes,superficie_parcela,antiguedad,puntaje,d_viasprin,cantidad_cuentas,cantidad_cuentas_250,vut,x,y,valor_omi,fechavalor,valuacion_,log_valuacion,log_val_omi,fechavalor_dt
110143001504,1101010126031026,0.047,79.06,61.66,17.4,300.0,13.0,96.0,0,28,1304,540,4389926.825,6524841.782,80600000.0,07/2024,52183036.83787799,7.717529357972798,7.90633504719336,2024-07-01
110141855352,1101010126031039,0.018,59.17,43.0,16.17,502.0,10.0,64.0,0,61,1464,700,4389852.135,6524811.936,78120000.0,07/2024,46228812.973442994,7.664912751508676,7.892762240175142,2024-07-01
110142486750,1101010126032027,0.03,51.4,39.0,12.4,273.0,7.0,64.0,0,32,1717,900,4389756.516,6524769.403,73780000.0,09/2024,55333419.379167005,7.742987516516094,7.867938656777129,2024-09-01
110124363977,1101010126034001,0.037,44.99,30.92,14.07,140.0,17.0,72.0,100,23,2501,900,4389447.684,6524750.275,8099700.0,08/2022,7600611.123496998,6.880848570063919,6.908468987218546,2022-08-01
110124364167,1101010126034001,0.066,79.65,54.79,24.86,140.0,17.0,72.0,100,23,2501,900,4389447.684,6524750.275,29884500.000000004,12/2023,30673794.230085,7.486767514016769,7.47544600854662,2023-12-01
110124615755,1101010126035007,0.031,64.34,47.0,17.34,508.5013,13.0,64.0,50,36,2737,950,4389401.016,6524715.741,96720000.0,05/2024,69281476.84856999,7.840617143077328,7.98551629234294,2024-05-01
110124615771,1101010126035007,0.037,76.33,56.0,20.33,508.5013,13.0,64.0,50,36,2737,950,4389401.016,6524715.741,8120000.0,01/2022,15430355.284304,7.188375953964693,6.9095560827257145,2022-01-01
110141494678,1101010126035026,0.041,80.23,58.0,22.23,302.5001,13.0,68.0,0,32,2889,950,4389372.732,6524643.01,17052000.0,08/2022,14158600.723862998,7.151020365387961,7.231775349443923,2022-08-01
110123651740,1101010126038018,0.13,56.91,47.0,9.91,286.01,30.0,63.63,50,9,2277,900,4389455.586,6524537.993,9744000.0,08/2022,15384767.634272,7.187090969441813,6.98873731985925,2022-08-01
110123651731,1101010126038018,0.146,63.1,52.0,11.1,286.01,30.0,63.63,50,9,2277,900,4389455.586,6524537.993,24360000.0,05/2022,17178226.169862,7.234978341679499,7.386677301789018,2022-05-01
110124715458,1101010126038030,0.046,57.32,43.0,14.32,230.0,13.0,64.0,0,22,2580,900,4389386.703,6524569.396,84320000.00000001,09/2024,28370217.075732,7.45286267413646,7.925930603019022,2024-09-01
110124715571,1101010126038030,0.064,80.0,60.0,20.0,230.0,13.0,64.0,0,22,2580,900,4389386.703,6524569.396,14595700.0,08/2022,13021493.857762,7.114660843772229,7.164224958051055,2022-08-01
110124502713,1101010126039012,0.049,63.45,47.67,15.78,226.7503,16.0,64.0,0,21,2266,900,4389575.425,6524629.049,76880000.0,07/2024,62657310.032384,7.7969717529961216,7.88581338030948,2024-07-01
110141016539,1101010126039014,0.035,65.67,46.0,19.67,500.0,11.0,67.46,50,31,2324,900,4389569.162,6524608.109,80600000.0,09/2024,75401672.848245,7.877380986917354,7.90633504719336,2024-09-01
110141016555,1101010126039014,0.04,75.57,53.0,22.57,500.0,11.0,67.46,50,31,2324,900,4389569.162,6524608.109,11165000.0,08/2022,14536074.19551,7.162447160922886,7.047858766305303,2022-08-01
110123930088,1101010126039034,0.185,70.32,57.0,13.32,225.0,23.0,64.0,50,8,2212,900,4389516.894,6524551.242,19285000.0,08/2022,18783813.20102,7.273783783790751,7.2852196657218675,2022-08-01
110140241326,1101010126040001,0.031,50.26,37.0,13.26,198.0,13.0,64.0,0,32,2208,900,4389602.1,6524665.449,10535700.0,06/2022,6938029.104583,6.84123617994333,7.022663436982896,2022-06-01
110140264431,1101010126040008,0.03,58.66,45.0,13.66,300.0,15.0,64.0,0,33,2126,900,4389662.975,6524681.038,84196000.0,08/2024,48390056.986656,7.684756142531637,7.925291464600874,2024-08-01
110142080036,1101010126040037,0.048,52.74,41.0,11.74,204.2999,10.0,64.0,50,20,2216,900,4389619.051,6524634.69,9541000.0,01/2022,8156597.767406998,6.911509099381223,6.979593941367687,2022-01-01
110142080133,1101010126040037,0.07,76.01,59.0,17.01,204.2999,10.0,64.0,50,20,2216,900,4389619.051,6524634.69,117800000.0,08/2024,70410628.95697801,7.847638229925633,8.071145294137793,2024-08-01
110140563498,1101010126041033,0.033,52.91,40.0,12.91,313.4899,12.0,64.0,0,30,1864,750,4389736.01,6524682.981,80600000.0,06/2024,43802910.99387,7.641502983125814,7.90633504719336,2024-06-01
110142521075,1101010126042005,0.041,84.91,66.0,18.91,300.0,8.0,64.0,0,32,1492,700,4389862.769,6524747.108,86676000.0,09/2024,77467596.77861601,7.88912008897735,7.937898865918467,2024-09-01
110124505909,1101010126043024,0.147,92.58,74.02,18.56,330.0,16.0,64.0,0,9,1344,320,4389924.242,6524746.412,130198760.0,07/2024,105740460.390784,8.024241201085495,8.114606851410182,2024-07-01
110124680255,1101010126045019,0.067,67.02,50.0,17.02,282.0,16.0,64.0,100,16,1086,280,4390085.457,6524738.392,9135000.0,02/2022,9559368.371696,6.980429242963737,6.960708599230369,2022-02-01
110142085933,1101010126056004,0.033,67.94,47.0,20.94,398.5008,8.0,64.0,100,25,2162,900,4389567.348,6524517.813,74400000.0,07/2024,79936327.99528201,7.902744199794741,7.87157294138317,2024-07-01
110142085984,1101010126056004,0.049,98.41,68.0,30.41,398.5008,8.0,64.0,100,25,2162,900,4389567.348,6524517.813,23907600.0,08/2023,44640732.4539,7.649731321511169,7.378535999171672,2023-08-01
110140318299,1101010126057021,0.033,57.44,42.0,15.44,297.0,12.0,64.0,150,30,1885,900,4389463.608,6524416.612,11774000.0,08/2022,8771768.966500001,6.943087234087379,7.070924068362039,2022-08-01
110123359917,1101010126058015,0.051,72.82,57.0,15.82,200.0,35.0,64.0,100,25,2134,900,4389301.695,6524445.57,87916000.0,08/2024,46878169.11981599,7.670970650740903,7.944067925285181,2024-08-01
110142933195,1101010132031018,0.074,45.15,35.57,9.58,250.0,7.0,64.0,0,14,586,360,4389820.35,6523928.315,15340710.0,06/2023,16478404.983342,7.216915198494556,7.185845488440921,2023-06-01
110141042033,1101010133002007,0.053,64.0,42.0,22.0,215.23,11.0,72.0,250,19,1628,850,4389507.449,6524381.016,66959999.99999999,09/2024,72095175.338184,7.857906208411677,7.825815451471083,2024-09-01
110141042025,1101010133002007,0.07,83.68,55.0,28.68,215.23,11.0,72.0,250,19,1628,850,4389507.449,6524381.016,58280000.0,02/2024,97013736.901024,7.986833238102851,7.765519550549814,2024-02-01
110124350271,1101010133006020,0.1,67.6,53.36,14.24,322.5201,17.0,64.0,350,11,1344,420,4389467.627,6524251.371,23110680.0,10/2023,24798540.33954,7.394426136196402,7.363812742977363,2023-10-01
110143042120,1101010133018010,0.034,61.06,42.0,19.06,194.5295,13.0,64.0,250,28,3166,950,4389067.016,6524241.894,77996000.0,09/2024,27837675.967584,7.444632990915051,7.8920723361756675,2024-09-01
110118425031,1101010133034037,0.03,73.73,59.0,14.73,510.0,50.0,64.0,300,31,2117,380,4388844.384,6524002.874,74400000.0,08/2024,25592046.989058,7.408105041446305,7.87157294138317,2024-08-01
110140408875,1101010133036021,0.023,33.05,25.0,8.05,275.0,14.0,64.0,150,27,1948,700,4388679.482,6524036.709,15938400.0,11/2023,11229918.694565,7.050376650621922,7.202444749198761,2023-11-01
110170008723,1101010133061001,0.005,50.56,36.0,14.56,4874.0,35.0,64.0,0,178,672,600,4388740.145,6523566.389,7308000.0,08/2022,7788362.382999,6.891446206272445,6.863798598107765,2022-08-01
110170008731,1101010133061001,0.005,50.28,36.0,14.28,4874.0,35.0,64.0,0,178,672,600,4388740.145,6523566.389,93000000.0,08/2024,36275234.29696,7.559610238141887,7.968482953223768,2024-08-01
110170005228,1101010133062001,0.013,86.95,62.0,24.95,4052.1,35.0,64.0,0,99,665,650,4388678.702,6523623.323,114080000.0,12/2024,55264978.66310399,7.742450014543075,8.05720951631472,2024-12-01
110170008146,1101010133063001,0.009,49.28,34.0,15.28,2300.0,35.0,64.0,50,103,749,650,4388683.956,6523696.284,80600000.0,08/2024,39923397.269448,7.601227501223938,7.90633504719336,2024-08-01
110123832574,1101010208022008,0.027,60.41,48.0,12.41,598.02,29.0,64.0,0,37,656,320,4389451.583,6523335.718,13946100.0,10/2023,13896811.204056002,7.142915188673903,7.144452806113689,2023-10-01
110123832523,1101010208022008,0.034,75.58,60.0,15.58,598.02,29.0,64.0,0,37,656,320,4389451.583,6523335.718,21915300.0,08/2023,17406115.655553,7.24070188983167,7.340747439933684,2023-08-01
110124240395,1101010210035019,0.021,68.02,55.0,13.02,1922.3844,23.0,64.0,0,43,733,160,4390252.989,6523226.557,5481000.0,02/2022,9570080.334663002,6.980915628795153,6.738859881308552,2022-02-01
110142127113,1101010211024024,0.053,52.38,41.0,11.38,400.0,8.0,64.0,50,15,732,200,4391145.886,6523354.158,6496000.0,08/2022,8784817.970719,6.943732816391603,6.812646083088792,2022-08-01
110124729017,1101010211031009,0.054,25.12,18.0,7.12,299.4,27.0,64.0,0,16,785,200,4390907.323,6523206.265,24800000.0,07/2024,8011196.439976,6.9036974352735685,7.394451698338091,2024-07-01
110124089930,1101010223056001,0.018,74.87,63.0,11.87,2912.1,30.0,64.0,250,60,746,150,4391380.429,6522742.676,12551490.0,11/2023,21148991.489295,7.32528968297528,7.098695319013117,2023-11-01
110124090032,1101010223056001,0.018,73.77,62.0,11.77,2912.1,30.0,64.0,250,60,746,150,4391380.429,6522742.676,13547640.0,08/2023,20891855.849998,7.319977041410172,7.131863679721579,2023-08-01
110118465237,1101010228009019,0.069,51.13,37.0,14.13,336.02,55.0,64.0,0,11,630,300,4389485.802,6522367.699,21915300.0,10/2023,7688221.200659999,6.885825926575941,7.340747439933684,2023-10-01
110112129235,1101010229029001,0.167,100.74,83.0,17.74,188.01,60.0,64.0,100,9,627,260,4390000.277,6522227.668,17930700.0,11/2023,9045164.844265,6.956416534113339,7.253597268618551,2023-11-01
110121073056,1101010231007007,0.002,54.63,39.0,15.63,12719.32,50.0,64.0,0,324,1019,160,4391130.754,6522304.171,13946100.0,08/2023,6835829.454123999,6.834791282581247,7.144452806113689,2023-08-01
